"EventTimeUtc","CorrelationId","Service","Category","Activity","Result","ResultReason","ActorType","ActorDisplayName","ActorObjectId","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName"
"2026-08-11T16:18:33.5701025Z","87ee3bf0-2920-49ba-aceb-3eee00701b3b","Core Directory","UserManagement","Remove app role assignment from user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","ServicePrincipal","Sunhaven Care Portal - LAB","107aaaf3-cec4-49d8-b5ec-0998838af3c8","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","",""
"2026-08-11T16:18:33.4103698Z","fe3bab72-44a0-4d80-9119-46d546c0dd29","Core Directory","GroupManagement","Remove member from group","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","Group","","093a04e4-5e0e-4cac-88ed-c8d570c62a1a","","","","",""
"2026-08-11T16:18:33.2742767Z","ac62279b-69dc-4aab-b2a6-4d376500ffcc","Core Directory","UserManagement","Update user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T16:18:33.2732641Z","ac62279b-69dc-4aab-b2a6-4d376500ffcc","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T16:18:33.0577368Z","6b0fdd93-ec2d-4ed4-aa70-4178ccda9d53","Core Directory","UserManagement","Update user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T16:18:33.0567372Z","6b0fdd93-ec2d-4ed4-aa70-4178ccda9d53","Core Directory","UserManagement","Disable account","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T15:02:50.0122844Z","d15ca749-4794-4a39-9d1c-745f33f16031","Core Directory","UserManagement","Update user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T15:02:50.0112871Z","d15ca749-4794-4a39-9d1c-745f33f16031","Core Directory","UserManagement","Update StsRefreshTokenValidFrom Timestamp","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","","","","","",""
"2026-08-11T15:02:49.807433Z","4670e437-dbf1-40e8-93e3-75423901d3d6","Core Directory","UserManagement","Add app role assignment grant to user","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","ServicePrincipal","Sunhaven Care Portal - LAB","107aaaf3-cec4-49d8-b5ec-0998838af3c8","","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","","","",""
"2026-08-11T15:02:49.6578679Z","89a5585d-10c9-4c42-bf97-86117f7b18a0","Core Directory","GroupManagement","Add member to group","Success","","User","Microsoft Graph Command Line Tools","cfc194ca-76bb-47f6-9332-f389d6d34c4d","User","","42460e61-afc4-4bf5-bad5-c0f4b5cb0c15","isabella.green@rifat011002gmail.onmicrosoft.com","Group","","093a04e4-5e0e-4cac-88ed-c8d570c62a1a","","","","",""
