EventTimeUtc,RequestId,CorrelationId,UserObjectId,DisplayName,UserPrincipalName,UserType,Application,Resource,Status,SignInErrorCode,FailureReason,MfaResult,MfaMethod,MfaDetail,AuthenticationRequirement,ConditionalAccess
2026-08-11T19:02:28Z,7c8ad6c8-338e-4d57-af2b-c9c261f71c00,7236db01-c893-470b-b3c4-3e8971350f57,24078780-828d-4675-9864-be92782e05cd,Test CareWorker 01,test.careworker01@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,MFA requirement satisfied by claim in the token,,,Multifactor authentication,Not Applied
2026-08-11T19:02:01Z,8f5d526e-2493-432b-bf02-0f7b28ca0400,7236db01-c893-470b-b3c4-3e8971350f57,24078780-828d-4675-9864-be92782e05cd,Test CareWorker 01,test.careworker01@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Interrupted,50140,This occurred due to 'Keep me signed in' interrupt when the user was signing in.,"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267",Mobile app notification,,Multifactor authentication,Not Applied
2026-08-11T16:43:27Z,4e3aa628-9812-4b7b-836c-7d2e8fb62100,f99aaf76-9d0a-4e90-be74-5f109b237794,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Failure,50057,The user account is disabled.,https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-aadsts50057-user-account-is-disabled,,,Single-factor authentication,Not Applied
2026-08-11T16:43:12Z,75083a39-9959-4d79-8ffc-bc955c042f00,f99aaf76-9d0a-4e90-be74-5f109b237794,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Failure,50126,Error validating credentials due to invalid username or password.,The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.,,,Single-factor authentication,Not Applied
2026-08-11T16:42:14Z,0a3d9d9a-23d7-4ca2-8691-3d81628c3100,0f2a2ba6-6603-4252-8221-a5e1c0d8dd55,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Failure,50057,The user account is disabled.,https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-aadsts50057-user-account-is-disabled,,,Single-factor authentication,Not Applied
2026-08-11T16:24:18Z,30c17f0f-6bb1-4713-ae49-301447700700,0f2a2ba6-6603-4252-8221-a5e1c0d8dd55,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Failure,50057,The user account is disabled.,https://learn.microsoft.com/troubleshoot/azure/entra/entra-id/app-integration/error-code-aadsts50057-user-account-is-disabled,,,Single-factor authentication,Not Applied
2026-08-11T15:56:28Z,4a1f69ce-ecfe-4315-8bb2-8947994e2500,511b22f7-43e0-489c-9f69-d5035434b630,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,,,,Single-factor authentication,Not Applied
2026-08-11T15:20:44Z,25169114-be6a-47a4-a919-483886fe1d00,3738a150-3c8c-463e-a774-6a76da269af3,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,,,,Single-factor authentication,Not Applied
2026-08-11T15:20:42Z,b1670ec5-b9f9-4362-b4b0-2c4b25fb1d00,3738a150-3c8c-463e-a774-6a76da269af3,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Interrupted,50140,This occurred due to 'Keep me signed in' interrupt when the user was signing in.,"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267",,,Single-factor authentication,Not Applied
2026-08-11T02:28:16Z,0e014548-c8fd-4b21-a747-eb3ad5bb2a00,f5fd752b-80ed-49fb-8d35-dec2f95644ae,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,My Signins,Microsoft Graph,Interrupted,50074,Strong Authentication is required.,"User needs to perform multi-factor authentication. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.",Mobile app notification,,Multifactor authentication,Not Applied
2026-08-11T02:27:10Z,08118745-b665-4de4-ab0f-c152b80c1d00,f5fd752b-80ed-49fb-8d35-dec2f95644ae,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,My Signins,Microsoft Graph,Failure,500121,Authentication failed during strong authentication request.,"The user didn't complete the MFA prompt. They may have decided not to authenticate, timed out while doing other work, or has an issue with their authentication setup.",Mobile app notification,,Multifactor authentication,Not Applied
2026-08-11T02:27:08Z,0da2c2c3-6082-4783-8424-ec5974ce1f00,a6d64634-30c5-440a-984b-9c109703ddeb,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,My Signins,Microsoft Graph,Success,,Other.,,,,Single-factor authentication,Not Applied
2026-08-11T02:26:25Z,0e014548-c8fd-4b21-a747-eb3ae6b02a00,440ae4e7-ca50-4226-a6c0-237669c49649,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,,,,Single-factor authentication,Not Applied
2026-08-11T02:26:23Z,14e25a8e-cc8b-4993-bb18-dc59be382200,440ae4e7-ca50-4226-a6c0-237669c49649,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Interrupted,50140,This occurred due to 'Keep me signed in' interrupt when the user was signing in.,"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267",,,Single-factor authentication,Not Applied
2026-08-11T02:25:37Z,ae34f410-bdf4-452f-b58f-f02ab05a1500,01d38462-fe32-4140-af3b-d7d6d424dc5e,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,MFA requirement satisfied by claim in the token,,,Single-factor authentication,Not Applied
2026-08-11T02:23:31Z,06f0f5b1-a901-4f38-83cb-61e05a0b1600,74f0039d-ebc9-46c4-bc01-daf31d70c6bf,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Success,,Other.,MFA requirement satisfied by claim in the token,,,Single-factor authentication,Not Applied
2026-08-11T02:22:55Z,5161be48-e694-4355-9065-aa9c4c072400,6c77b183-2f20-4944-8c72-367d4de00c6c,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Interrupted,50140,This occurred due to 'Keep me signed in' interrupt when the user was signing in.,"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267",,,Single-factor authentication,Not Applied
2026-08-11T02:21:31Z,4a1f69ce-ecfe-4315-8bb2-8947a7391800,6c77b183-2f20-4944-8c72-367d4de00c6c,42460e61-afc4-4bf5-bad5-c0f4b5cb0c15,Isabella Green (TEST),isabella.green@rifat011002gmail.onmicrosoft.com,member,Sunhaven Care Portal - LAB,Microsoft Graph,Interrupted,50055,The password is expired.,"The user's password is expired, and therefore their login or session was ended. They will be offered the opportunity to reset it, or may ask an admin to reset it via https://learn.microsoft.com/entra/fundamentals/users-reset-password-azure-portal",,,Multifactor authentication,Not Applied
